ACT_ID	CIDX	AIDX	RIDX	TYPE	RELATION	VALUE	UPPER_VALUE	UNITS	TEXT_VALUE	ACTIVITY_COMMENT	CRIDX
ACT_INH_0057	DOM_SIM_057	1_LEY	LEY_VERO	inhibition	=	0.06		%			LEY_VERO
ACT_INH_0058	DOM_SIM_058	1_LEY	LEY_VERO	inhibition	=	0.01		%			LEY_VERO
ACT_INH_0059	DOM_SIM_059	1_LEY	LEY_VERO	inhibition	=	0.08		%			LEY_VERO
ACT_INH_0060	DOM_SIM_060	1_LEY	LEY_VERO	inhibition	=	-0.07		%			LEY_VERO
ACT_INH_0061	DOM_SIM_061	1_LEY	LEY_VERO	inhibition	=	0.04		%			LEY_VERO
ACT_INH_0062	DOM_SIM_062	1_LEY	LEY_VERO	inhibition	=	0.21		%			LEY_VERO
ACT_INH_0063	DOM_SIM_063	1_LEY	LEY_VERO	inhibition	=	0.77		%			LEY_VERO
ACT_INH_0064	DOM_SIM_064	1_LEY	LEY_VERO	inhibition	=	0.61		%			LEY_VERO
ACT_INH_0065	DOM_SIM_065	1_LEY	LEY_VERO	inhibition	=	-0.35		%			LEY_VERO
ACT_INH_0066	DOM_SIM_066	1_LEY	LEY_VERO	inhibition	=	0.2		%			LEY_VERO
ACT_INH_0067	DOM_SIM_067	1_LEY	LEY_VERO	inhibition	=	-0.03		%			LEY_VERO
ACT_INH_0068	DOM_SIM_068	1_LEY	LEY_VERO	inhibition	=	-0.05		%			LEY_VERO
ACT_INH_0069	DOM_SIM_069	1_LEY	LEY_VERO	inhibition	=	0.6		%			LEY_VERO
ACT_INH_0070	DOM_SIM_070	1_LEY	LEY_VERO	inhibition	=	0.07		%			LEY_VERO
ACT_INH_0071	DOM_SIM_071	1_LEY	LEY_VERO	inhibition	=	0.04		%			LEY_VERO
ACT_INH_0072	DOM_SIM_072	1_LEY	LEY_VERO	inhibition	=	0.47		%			LEY_VERO
ACT_INH_0073	DOM_SIM_073	1_LEY	LEY_VERO	inhibition	=	0		%			LEY_VERO
ACT_INH_0074	DOM_SIM_074	1_LEY	LEY_VERO	inhibition	=	-0.02		%			LEY_VERO
ACT_INH_0075	DOM_SIM_075	1_LEY	LEY_VERO	inhibition	=	0		%			LEY_VERO
ACT_INH_0076	DOM_SIM_076	1_LEY	LEY_VERO	inhibition	=	-0.02		%			LEY_VERO
ACT_INH_0077	DOM_SIM_077	1_LEY	LEY_VERO	inhibition	=	0.24		%			LEY_VERO
ACT_INH_0078	DOM_SIM_078	1_LEY	LEY_VERO	inhibition	=	8.73		%			LEY_VERO
ACT_INH_0079	DOM_SIM_079	1_LEY	LEY_VERO	inhibition	=	0.25		%			LEY_VERO
ACT_INH_0080	DOM_SIM_080	1_LEY	LEY_VERO	inhibition	=	0.08		%			LEY_VERO
ACT_INH_0081	DOM_SIM_081	1_LEY	LEY_VERO	inhibition	=	-0.14		%			LEY_VERO
ACT_INH_0082	DOM_SIM_082	1_LEY	LEY_VERO	inhibition	=	0.91		%			LEY_VERO
ACT_INH_0083	DOM_SIM_083	1_LEY	LEY_VERO	inhibition	=	0.04		%			LEY_VERO
ACT_INH_0084	DOM_SIM_084	1_LEY	LEY_VERO	inhibition	=	4.22		%			LEY_VERO
ACT_INH_0085	DOM_SIM_085	1_LEY	LEY_VERO	inhibition	=	2.03		%			LEY_VERO
ACT_INH_0086	DOM_SIM_086	1_LEY	LEY_VERO	inhibition	=	0.01		%			LEY_VERO
ACT_INH_0087	DOM_SIM_087	1_LEY	LEY_VERO	inhibition	=	-0.04		%			LEY_VERO
ACT_INH_0088	DOM_SIM_088	1_LEY	LEY_VERO	inhibition	=	-0.12		%			LEY_VERO
ACT_INH_0089	DOM_SIM_089	1_LEY	LEY_VERO	inhibition	=	0.21		%			LEY_VERO
ACT_INH_0090	DOM_SIM_090	1_LEY	LEY_VERO	inhibition	=	0.17		%			LEY_VERO
ACT_INH_0091	DOM_SIM_091	1_LEY	LEY_VERO	inhibition	=	0.02		%			LEY_VERO
ACT_INH_0092	DOM_SIM_092	1_LEY	LEY_VERO	inhibition	=	0.08		%			LEY_VERO
ACT_INH_0093	DOM_SIM_093	1_LEY	LEY_VERO	inhibition	=	-0.14		%			LEY_VERO
ACT_INH_0094	DOM_SIM_094	1_LEY	LEY_VERO	inhibition	=	0.7		%			LEY_VERO
ACT_INH_0095	DOM_SIM_095	1_LEY	LEY_VERO	inhibition	=	0.71		%			LEY_VERO
ACT_INH_0096	DOM_SIM_096	1_LEY	LEY_VERO	inhibition	=	-0.14		%			LEY_VERO
ACT_INH_0097	DOM_SIM_097	1_LEY	LEY_VERO	inhibition	=	-0.14		%			LEY_VERO
ACT_INH_0098	DOM_SIM_098	1_LEY	LEY_VERO	inhibition	=	-0.29		%			LEY_VERO
ACT_INH_0099	DOM_SIM_099	1_LEY	LEY_VERO	inhibition	=	0.17		%			LEY_VERO
ACT_INH_0100	DOM_SIM_100	1_LEY	LEY_VERO	inhibition	=	-0.09		%			LEY_VERO
ACT_INH_0101	DOM_SIM_101	1_LEY	LEY_VERO	inhibition	=	14.41		%			LEY_VERO
ACT_INH_0102	DOM_SIM_102	1_LEY	LEY_VERO	inhibition	=	-0.03		%			LEY_VERO
ACT_INH_0103	DOM_SIM_103	1_LEY	LEY_VERO	inhibition	=	-0.07		%			LEY_VERO
ACT_INH_0104	DOM_SIM_104	1_LEY	LEY_VERO	inhibition	=	0.28		%			LEY_VERO
ACT_INH_0105	DOM_SIM_105	1_LEY	LEY_VERO	inhibition	=	0.5		%			LEY_VERO
ACT_INH_0106	DOM_SIM_106	1_LEY	LEY_VERO	inhibition	=	0.16		%			LEY_VERO
ACT_INH_0107	DOM_SIM_107	1_LEY	LEY_VERO	inhibition	=	-0.19		%			LEY_VERO
ACT_INH_0108	DOM_SIM_108	1_LEY	LEY_VERO	inhibition	=	2.92		%			LEY_VERO
ACT_INH_0109	DOM_SIM_109	1_LEY	LEY_VERO	inhibition	=	0.05		%			LEY_VERO
ACT_INH_0110	DOM_SIM_110	1_LEY	LEY_VERO	inhibition	=	-0.1		%			LEY_VERO
ACT_INH_0111	DOM_SIM_111	1_LEY	LEY_VERO	inhibition	=	0.06		%			LEY_VERO
ACT_INH_0112	DOM_SIM_112	1_LEY	LEY_VERO	inhibition	=	0.05		%			LEY_VERO
