ACT_ID	SAM_ID
ACT_IC50_001	SAM_IC50_001
ACT_IC50_002	SAM_IC50_002
ACT_IC50_003	SAM_IC50_003
ACT_IC50_004	SAM_IC50_004
ACT_IC50_005	SAM_IC50_005
ACT_IC50_006	SAM_IC50_006
ACT_IC50_007	SAM_IC50_007
ACT_IC50_008	SAM_IC50_008
ACT_IC50_009	SAM_IC50_009
ACT_IC50_010	SAM_IC50_010
ACT_IC50_011	SAM_IC50_011
ACT_IC50_012	SAM_IC50_012
ACT_IC50_013	SAM_IC50_013
ACT_IC50_014	SAM_IC50_014
ACT_IC50_015	SAM_IC50_015
ACT_IC50_016	SAM_IC50_016
ACT_IC50_017	SAM_IC50_017
ACT_IC50_018	SAM_IC50_018
ACT_IC50_019	SAM_IC50_019
ACT_IC50_020	SAM_IC50_020
ACT_IC50_021	SAM_IC50_021
ACT_IC50_022	SAM_IC50_022
ACT_IC50_023	SAM_IC50_023
ACT_IC50_024	SAM_IC50_024
ACT_IC50_025	SAM_IC50_025
ACT_IC50_026	SAM_IC50_026
ACT_IC50_027	SAM_IC50_027
ACT_IC50_028	SAM_IC50_028
ACT_IC50_029	SAM_IC50_029
ACT_IC50_030	SAM_IC50_030
ACT_IC50_031	SAM_IC50_031
ACT_IC50_032	SAM_IC50_032
ACT_IC50_033	SAM_IC50_033
ACT_IC50_034	SAM_IC50_034
ACT_IC50_035	SAM_IC50_035
ACT_IC50_036	SAM_IC50_036
ACT_IC50_037	SAM_IC50_037
ACT_IC50_038	SAM_IC50_038
ACT_IC50_039	SAM_IC50_039
ACT_IC50_040	SAM_IC50_040
ACT_IC50_041	SAM_IC50_041
ACT_IC50_042	SAM_IC50_042
ACT_IC50_043	SAM_IC50_043
ACT_IC50_044	SAM_IC50_044
ACT_IC50_045	SAM_IC50_045
ACT_IC50_046	SAM_IC50_046
ACT_IC50_047	SAM_IC50_047
ACT_IC50_048	SAM_IC50_048
ACT_IC50_049	SAM_IC50_049
ACT_IC50_050	SAM_IC50_050
ACT_IC50_051	SAM_IC50_051
ACT_IC50_052	SAM_IC50_052
ACT_IC50_053	SAM_IC50_053
ACT_IC50_054	SAM_IC50_054
ACT_IC50_055	SAM_IC50_055
ACT_IC50_056	SAM_IC50_056
ACT_IC50_057	SAM_IC50_057
ACT_IC50_058	SAM_IC50_058
ACT_IC50_059	SAM_IC50_059
ACT_IC50_060	SAM_IC50_060
ACT_IC50_061	SAM_IC50_061
ACT_IC50_062	SAM_IC50_062
ACT_IC50_063	SAM_IC50_063
ACT_IC50_064	SAM_IC50_064
ACT_IC50_065	SAM_IC50_065
ACT_IC50_066	SAM_IC50_066
ACT_IC50_067	SAM_IC50_067
ACT_IC50_068	SAM_IC50_068
ACT_IC50_069	SAM_IC50_069
ACT_IC50_070	SAM_IC50_070
ACT_IC50_071	SAM_IC50_071
ACT_IC50_072	SAM_IC50_072
ACT_IC50_073	SAM_IC50_073
ACT_IC50_074	SAM_IC50_074
ACT_IC50_075	SAM_IC50_075
ACT_IC50_076	SAM_IC50_076
ACT_IC50_077	SAM_IC50_077
ACT_IC50_078	SAM_IC50_078
ACT_IC50_079	SAM_IC50_079
ACT_IC50_080	SAM_IC50_080
ACT_IC50_081	SAM_IC50_081
ACT_IC50_082	SAM_IC50_082
ACT_IC50_083	SAM_IC50_083
ACT_IC50_084	SAM_IC50_084
ACT_IC50_085	SAM_IC50_085
ACT_IC50_086	SAM_IC50_086
ACT_IC50_087	SAM_IC50_087
ACT_IC50_088	SAM_IC50_088
ACT_IC50_089	SAM_IC50_089
ACT_IC50_090	SAM_IC50_090
ACT_IC50_091	SAM_IC50_091
ACT_IC50_092	SAM_IC50_092
ACT_IC50_093	SAM_IC50_093
ACT_IC50_094	SAM_IC50_094
ACT_IC50_095	SAM_IC50_095
ACT_IC50_096	SAM_IC50_096
ACT_IC50_097	SAM_IC50_097
ACT_IC50_098	SAM_IC50_098
ACT_IC50_099	SAM_IC50_099
ACT_IC50_100	SAM_IC50_100
ACT_IC50_101	SAM_IC50_101
ACT_IC50_102	SAM_IC50_102
ACT_IC50_103	SAM_IC50_103
ACT_IC50_104	SAM_IC50_104
ACT_IC50_105	SAM_IC50_105
ACT_IC50_106	SAM_IC50_106
ACT_IC50_107	SAM_IC50_107
ACT_IC50_108	SAM_IC50_108
ACT_IC50_109	SAM_IC50_109
ACT_IC50_110	SAM_IC50_110
ACT_IC50_111	SAM_IC50_111
ACT_IC50_112	SAM_IC50_112
ACT_IC50_113	SAM_IC50_113
ACT_IC50_114	SAM_IC50_114
ACT_IC50_115	SAM_IC50_115
ACT_IC50_116	SAM_IC50_116
ACT_IC50_117	SAM_IC50_117
ACT_IC50_118	SAM_IC50_118
ACT_IC50_119	SAM_IC50_119
ACT_IC50_120	SAM_IC50_120
ACT_IC50_121	SAM_IC50_121
ACT_IC50_122	SAM_IC50_122
ACT_IC50_123	SAM_IC50_123
ACT_IC50_124	SAM_IC50_124
ACT_IC50_125	SAM_IC50_125
ACT_IC50_126	SAM_IC50_126
ACT_IC50_127	SAM_IC50_127
ACT_IC50_128	SAM_IC50_128
ACT_IC50_129	SAM_IC50_129
ACT_IC50_130	SAM_IC50_130
ACT_IC50_131	SAM_IC50_131
ACT_IC50_132	SAM_IC50_132
ACT_IC50_133	SAM_IC50_133
ACT_IC50_134	SAM_IC50_134
ACT_IC50_135	SAM_IC50_135
