COMPOUND_ID	ASSAY_ID	STATUS	VALUE	UNIT	SUPPLIER
DNDI1267119	1002457	= 	76	uM	EPICHEM
DNDI1267120	1002457	= 	10	uM	EPICHEM
DNDI1267120	1000461	= 	.513	uM	EPICHEM
DNDI1267120	1003108	= 	57.24	uM	EPICHEM
DNDI1267124	1002457	= 	1	uM	EPICHEM
DNDI1267124	1000461	= 	.21	uM	EPICHEM
DNDI1267124	1003108	= 	60.04	uM	EPICHEM
DNDI1267125	1002457	= 	93	uM	EPICHEM
DNDI1267125	1000461	= 	46.35	uM	EPICHEM
DNDI1267125	1003108	= 	54.93	uM	EPICHEM
DNDI1267127	1003108	= 	49.04	uM	EPICHEM
DNDI1267127	1000461	= 	.09	uM	EPICHEM
DNDI1267127	1002457	= 	27	uM	EPICHEM
DNDI1268111	1003108	> 	100	uM	EPICHEM
DNDI1268111	1000461	= 	1.53	uM	EPICHEM
DNDI1268111	1002457	= 	59	uM	EPICHEM
DNDI1268111	1003108	> 	100	uM	EPICHEM
DNDI1268112	1003108	= 	58.7	uM	EPICHEM
DNDI1268112	1002457	= 	10	uM	EPICHEM
DNDI1268112	1000461	= 	.09	uM	EPICHEM
DNDI1268112	1003108	= 	58.7	uM	EPICHEM
DNDI1268115	1002457	= 	10	uM	EPICHEM
DNDI1268115	1000461	> 	10	uM	EPICHEM
DNDI1268115	1003108	> 	100	uM	EPICHEM
DNDI1268116	1002457	= 	10	uM	EPICHEM
DNDI1268116	1000461	> 	10	uM	EPICHEM
DNDI1268116	1003108	> 	100	uM	EPICHEM
DNDI1268117	1002457	= 	10	uM	EPICHEM
DNDI1268117	1000461	> 	10	uM	EPICHEM
DNDI1268117	1003108	> 	100	uM	EPICHEM
DNDI1268118	1003108	= 	84.7	uM	EPICHEM
DNDI1268118	1003108	= 	84.7	uM	EPICHEM
DNDI1268118	1000461	= 	.08	uM	EPICHEM
DNDI1268118	1002457	= 	1.6	uM	EPICHEM
DNDI1268121	1000461	= 	.1703	uM	EPICHEM
DNDI1268121	1003108	= 	59.68	uM	EPICHEM
DNDI1268121	1002457	= 			EPICHEM
DNDI1268121	1002457	= 	1	uM	EPICHEM
DNDI1268122	1002457	= 	.22	uM	EPICHEM
DNDI1268122	1000461	= 	.05	uM	EPICHEM
DNDI1268122	1003108	= 	56.75	uM	EPICHEM
DNDI1268123	1003108	> 	100	uM	EPICHEM
DNDI1268123	1002457	= 	9.37	uM	EPICHEM
DNDI1268123	1000461	= 	2.64	uM	EPICHEM
DNDI1268124	1000461	= 	.068	uM	EPICHEM
DNDI1268124	1003108	= 	67.44	uM	EPICHEM
DNDI1268124	1002457	= 	.1578	uM	EPICHEM
DNDI1268124	1000461	= 	.0238	uM	EPICHEM
DNDI1268124	1003108	= 	67.44	uM	EPICHEM
DNDI1268124	1003108	= 	79.34	uM	EPICHEM
DNDI1268124	1002457	= 	.31	uM	EPICHEM
DNDI1268516	1000461	= 	.3285	uM	EPICHEM
DNDI1268516	1002457	= 	5.23	uM	EPICHEM
DNDI1268516	1003108	= 	68.38	uM	EPICHEM
DNDI1268517	1003108	= 	59.25	uM	EPICHEM
DNDI1268517	1000461	= 	.6056	uM	EPICHEM
DNDI1268517	1002457	= 	1.32	uM	EPICHEM
DNDI1268517	1003108	= 	59.25	uM	EPICHEM
DNDI1268521	1003108	= 	53.1	uM	EPICHEM
DNDI1268521	1002457	= 	.0522	uM	EPICHEM
DNDI1268521	1000461	= 	.015	uM	EPICHEM
DNDI1268521	1003108	= 	53.1	uM	EPICHEM
DNDI1278547	1002457	= 	.18	uM	EPICHEM
DNDI1278547	1000461	= 	.04	uM	EPICHEM
DNDI1278547	1003108	= 	68.06	uM	EPICHEM
DNDI1278548	1003108	= 	62	uM	EPICHEM
DNDI1278548	1002457	= 	2.78	uM	EPICHEM
DNDI1278548	1000461	= 	.37	uM	EPICHEM
DNDI1278549	1002457	= 	6.23	uM	EPICHEM
DNDI1278549	1003108	= 	56.46	uM	EPICHEM
DNDI1278549	1000461	= 	.6545	uM	EPICHEM
DNDI1278550	1000461	= 	.23	uM	EPICHEM
DNDI1278550	1002457	= 	2.57	uM	EPICHEM
DNDI1278550	1003108	= 	62.58	uM	EPICHEM
DNDI1278551	1002457	= 	6.78	uM	EPICHEM
DNDI1278551	1000461	= 	.6825	uM	EPICHEM
DNDI1278551	1003108	= 	70.11	uM	EPICHEM
DNDI1294204	1003108	= 	60.91	uM	EPICHEM
DNDI1294204	1002457	= 	.103	uM	EPICHEM
DNDI1294204	1000461	= 	.029	uM	EPICHEM
DNDI1294205	1003108	> 	100	uM	EPICHEM
DNDI1294205	1002457	= 	1.89	uM	EPICHEM
DNDI1294205	1000461	= 	.5	uM	EPICHEM
DNDI1294206	1003108	= 	67.71	uM	EPICHEM
DNDI1294206	1002457	= 	.108	uM	EPICHEM
DNDI1294206	1000461	= 	.013	uM	EPICHEM
DNDI1294206	1000461	= 	.017	uM	EPICHEM
DNDI1294206	1002457	= 	.099	uM	EPICHEM
DNDI1294206	1003108	> 	100	uM	EPICHEM
DNDI1294207	1003108	= 	76.02	uM	EPICHEM
DNDI1294207	1002457	= 	5.05	uM	EPICHEM
DNDI1294207	1000461	= 	.09	uM	EPICHEM
DNDI1294208	1003108	= 	63.37	uM	EPICHEM
DNDI1294208	1002457	> 	10	uM	EPICHEM
DNDI1294208	1000461	> 	10	uM	EPICHEM
DNDI1294209	1003108	= 	55.84	uM	EPICHEM
DNDI1294209	1002457	> 	10	uM	EPICHEM
DNDI1294209	1000461	> 	10	uM	EPICHEM
DNDI1294210	1000461	> 	10	uM	EPICHEM
DNDI1294210	1002457	> 	10	uM	EPICHEM
DNDI1294210	1003108	= 	53.6	uM	EPICHEM
DNDI1294211	1003108	= 	52.03	uM	EPICHEM
DNDI1294211	1002457	= 	.018	uM	EPICHEM
DNDI1294211	1000461	= 	.0082	uM	EPICHEM
DNDI1294211	1003108	= 	56.61	uM	EPICHEM
DNDI1294211	1000461	= 	.002	uM	EPICHEM
DNDI1294211	1003108	= 	56.61	uM	EPICHEM
DNDI1294211	1002457	= 	.006	uM	EPICHEM
DNDI1294212	1000461	= 	.054	uM	EPICHEM
DNDI1294212	1002457	= 	.152	uM	EPICHEM
DNDI1294212	1003108	> 	100	uM	EPICHEM
DNDI1294212	1003108	> 	100	uM	EPICHEM
DNDI1294212	1002457	= 	.1786	uM	EPICHEM
DNDI1294212	1000461	= 	.0348	uM	EPICHEM
DNDI1296946	1003108	= 	64.72	uM	EPICHEM
DNDI1296946	1002457	= 	.368	uM	EPICHEM
DNDI1296946	1000461	= 	.154	uM	EPICHEM
DNDI1296947	1003108	= 	58.81	uM	EPICHEM
DNDI1296947	1002457	> 	10	uM	EPICHEM
DNDI1296947	1000461	> 	10	uM	EPICHEM
DNDI1300737	1000461	= 	.054	uM	EPICHEM
DNDI1300737	1002457	= 	.08	uM	EPICHEM
DNDI1300737	1003108	= 	54.09	uM	EPICHEM
DNDI1300738	1003108	= 	50.56	uM	EPICHEM
DNDI1300738	1002457	= 	.038	uM	EPICHEM
DNDI1300738	1000461	= 	.0149	uM	EPICHEM
DNDI1300739	1003108	> 	100	uM	EPICHEM
DNDI1300739	1002457	= 	8.57	uM	EPICHEM
DNDI1300739	1000461	= 	7.05	uM	EPICHEM
DNDI1300740	1003108	> 	100	uM	EPICHEM
DNDI1300740	1002457	= 	.337	uM	EPICHEM
DNDI1300740	1000461	= 	.139	uM	EPICHEM
DNDI1303288	1003108	= 	11.61	uM	EPICHEM
DNDI1303288	1002457	= 	7.59	uM	EPICHEM
DNDI1303288	1000461	= 	3.98	uM	EPICHEM
DNDI1303289	1003108	= 	47.98	uM	EPICHEM
DNDI1303289	1002457	> 	10	uM	EPICHEM
DNDI1303289	1000461	> 	10	uM	EPICHEM
DNDI1303290	1003108	= 	60.39	uM	EPICHEM
DNDI1303290	1002457	= 	.162	uM	EPICHEM
DNDI1303290	1000461	= 	.067	uM	EPICHEM
DNDI1303291	1003108	= 	70.06	uM	EPICHEM
DNDI1303291	1002457	= 	.072	uM	EPICHEM
DNDI1303291	1000461	= 	.028	uM	EPICHEM
DNDI1307368	1000461	= 	.024	uM	EPICHEM
DNDI1307368	1003108	> 	100	uM	EPICHEM
DNDI1307368	1002457	= 	.067	uM	EPICHEM
DNDI1307369	1003108	= 	55.17	uM	EPICHEM
DNDI1307369	1002457	= 	.172	uM	EPICHEM
DNDI1307369	1000461	= 	.076	uM	EPICHEM
DNDI1307370	1003108	= 	56.38	uM	EPICHEM
DNDI1307370	1002457	= 	.03	uM	EPICHEM
DNDI1307370	1000461	= 	.0082	uM	EPICHEM
DNDI1307371	1003108	= 	59.25	uM	EPICHEM
DNDI1307371	1000461	= 	.122	uM	EPICHEM
DNDI1307374	1000461	> 	10	uM	EPICHEM
DNDI1307374	1003108	> 	100	uM	EPICHEM
DNDI1307374	1002457	> 	10	uM	EPICHEM
DNDI1315839	1003108	> 	100	uM	EPICHEM
DNDI1315839	1002457	> 	1	uM	EPICHEM
DNDI1315839	1000461	= 	.558	uM	EPICHEM
DNDI1315839	1003108	> 	100	uM	EPICHEM
DNDI1315839	1003108	> 	100	uM	EPICHEM
