smiles code,active ingredient,salt,relation,assay value,target disease,protein target,treatment concentration,treatment unit,exposure time (h),measurement,type,model type,description,dataset,ASSAY_TYPE,ASSAY_STRAIN,TARGET_TYPE,DOSE,timepoint_unit,SUPPLIER,ASSAY_SOP
O=[N+]([O-])c1ccc(O/N=C/c2cc(Br)c(O)c(Br)c2)c([N+](=O)[O-])c1,O=[N+]([O-])c1ccc(O/N=C/c2cc(Br)c(O)c(Br)c2)c([N+](=O)[O-])c1,.,= ,83.58,L-6 cells,,,uM,,IC50,,,CYTOTOXICITY,set6,F,rat myoblasts from skeletal muscle,ORGANISM,,,EPICHEM,MURVTCYT1
C#CCOC(=O)C(C)Oc1ccc(Oc2ncc(Cl)cc2F)cc1,C#CCOC(=O)C(C)Oc1ccc(Oc2ncc(Cl)cc2F)cc1,.,= ,67.5,T. cruzi,,,uM,,IC50,,,Chagas in vitro,set6,F,"Tulahuen LacZ, Clone C4",ORGANISM,,,EPICHEM,MURVTCHA1
CON(C)C(=O)Nc1ccc(Br)cc1,CON(C)C(=O)Nc1ccc(Br)cc1,.,= ,71.77,T. cruzi,,,uM,,IC50,,,Chagas in vitro,set6,F,"Tulahuen LacZ, Clone C4",ORGANISM,,,EPICHEM,MURVTCHA1
CC(Oc1ccc(Cl)cc1Cl)C(=O)O,CC(Oc1ccc(Cl)cc1Cl)C(=O)O,.,= ,73.95,T. cruzi,,,uM,,IC50,,,Chagas in vitro,set6,F,"Tulahuen LacZ, Clone C4",ORGANISM,,,EPICHEM,MURVTCHA1
OC(c1ccccc1)(c1ccc(Cl)cc1)c1cncnc1,OC(c1ccccc1)(c1ccc(Cl)cc1)c1cncnc1,.,= ,0.46225,T. cruzi,,,uM,,IC50,,,Chagas in vitro,set6,F,"Tulahuen LacZ, Clone C4",ORGANISM,,,EPICHEM,MURVTCHA1
OC(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)c1cncnc1,OC(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)c1cncnc1,.,= ,47.72,L-6 cells,,,uM,,IC50,,,CYTOTOXICITY,set6,F,rat myoblasts from skeletal muscle,ORGANISM,,,EPICHEM,MURVTCYT1
OC(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)c1cncnc1,OC(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)c1cncnc1,.,= ,0.223666666666667,T. cruzi,,,uM,,IC50,,,Chagas in vitro,set6,F,"Tulahuen LacZ, Clone C4",ORGANISM,,,EPICHEM,MURVTCHA1
OC(c1cncnc1)(c1ccccc1Cl)c1ccccc1Cl,OC(c1cncnc1)(c1ccccc1Cl)c1ccccc1Cl,.,= ,1.06,T. cruzi,,,uM,,IC50,,,Chagas in vitro,set6,F,"Tulahuen LacZ, Clone C4",ORGANISM,,,EPICHEM,MURVTCHA1
[O-][n+]1cncc(C(O)(c2ccc(Cl)cc2)c2ccccc2Cl)c1,[O-][n+]1cncc(C(O)(c2ccc(Cl)cc2)c2ccccc2Cl)c1,.,= ,14.53,T. cruzi,,,uM,,IC50,,,Chagas in vitro,set6,F,"Tulahuen LacZ, Clone C4",ORGANISM,,,EPICHEM,MURVTCHA1
Clc1ccc(C(c2cncnc2)c2ccccc2Cl)cc1,Clc1ccc(C(c2cncnc2)c2ccccc2Cl)cc1,.,= ,1.07,T. cruzi,,,uM,,IC50,,,Chagas in vitro,set6,F,"Tulahuen LacZ, Clone C4",ORGANISM,,,EPICHEM,MURVTCHA1
Clc1ccc(C(c2cncnc2)c2ccccc2Cl)cc1,Clc1ccc(C(c2cncnc2)c2ccccc2Cl)cc1,.,= ,80.0,T. cruzi,,,uM,,IC90,,,Chagas in vitro,set6,F,"Tulahuen LacZ, Clone C4",ORGANISM,,,EPICHEM,MURVTCHA2
OC(c1ccc(Cl)cc1)(c1cccnc1)c1ccccc1Cl,OC(c1ccc(Cl)cc1)(c1cccnc1)c1ccccc1Cl,.,= ,61.34,L-6 cells,,,uM,,IC50,,,CYTOTOXICITY,set6,F,rat myoblasts from skeletal muscle,ORGANISM,,,EPICHEM,MURVTCYT1
OC(c1ccc(Cl)cc1)(c1cccnc1)c1ccccc1Cl,OC(c1ccc(Cl)cc1)(c1cccnc1)c1ccccc1Cl,.,= ,0.27,T. cruzi,,,uM,,IC50,,,Chagas in vitro,set6,F,"Tulahuen LacZ, Clone C4",ORGANISM,,,EPICHEM,MURVTCHA1
OC(c1ccc(Cl)cc1)(c1cccnc1)c1ccccc1Cl,OC(c1ccc(Cl)cc1)(c1cccnc1)c1ccccc1Cl,.,= ,51.0,T. cruzi,,,uM,,IC90,,,Chagas in vitro,set6,F,"Tulahuen LacZ, Clone C4",ORGANISM,,,EPICHEM,MURVTCHA2
OC(c1ccc(Cl)cc1)(c1ccccn1)c1ccccc1Cl,OC(c1ccc(Cl)cc1)(c1ccccn1)c1ccccc1Cl,.,= ,27.42,T. cruzi,,,uM,,IC50,,,Chagas in vitro,set6,F,"Tulahuen LacZ, Clone C4",ORGANISM,,,EPICHEM,MURVTCHA1
OC(c1ccc(Cl)cc1)(c1ccccn1)c1ccccc1Cl,OC(c1ccc(Cl)cc1)(c1ccccn1)c1ccccc1Cl,.,= ,90.0,T. cruzi,,,uM,,IC90,,,Chagas in vitro,set6,F,"Tulahuen LacZ, Clone C4",ORGANISM,,,EPICHEM,MURVTCHA2
OC(c1ccccc1)(c1cncnc1)c1ccccc1Cl,OC(c1ccccc1)(c1cncnc1)c1ccccc1Cl,.,= ,2.51,T. cruzi,,,uM,,IC50,,,Chagas in vitro,set6,F,"Tulahuen LacZ, Clone C4",ORGANISM,,,EPICHEM,MURVTCHA1
OC(c1ccccc1)(c1cncnc1)c1ccccc1Cl,OC(c1ccccc1)(c1cncnc1)c1ccccc1Cl,.,= ,70.0,T. cruzi,,,uM,,IC90,,,Chagas in vitro,set6,F,"Tulahuen LacZ, Clone C4",ORGANISM,,,EPICHEM,MURVTCHA2
COc1ccc(C(O)(c2cncnc2)c2ccccc2Cl)cc1,COc1ccc(C(O)(c2cncnc2)c2ccccc2Cl)cc1,.,= ,60.0,T. cruzi,,,uM,,IC90,,,Chagas in vitro,set6,F,"Tulahuen LacZ, Clone C4",ORGANISM,,,EPICHEM,MURVTCHA2
COc1ccc(C(O)(c2cncnc2)c2ccccc2Cl)cc1,COc1ccc(C(O)(c2cncnc2)c2ccccc2Cl)cc1,.,= ,70.93,L-6 cells,,,uM,,IC50,,,CYTOTOXICITY,set6,F,rat myoblasts from skeletal muscle,ORGANISM,,,EPICHEM,MURVTCYT1
COc1ccc(C(O)(c2cncnc2)c2ccccc2Cl)cc1,COc1ccc(C(O)(c2cncnc2)c2ccccc2Cl)cc1,.,= ,0.393,T. cruzi,,,uM,,IC50,,,Chagas in vitro,set6,F,"Tulahuen LacZ, Clone C4",ORGANISM,,,EPICHEM,MURVTCHA1
COc1ccc(C(O)(c2cncnc2)c2ccccc2Cl)cc1,COc1ccc(C(O)(c2cncnc2)c2ccccc2Cl)cc1,.,= ,70.93,L-6 cells,,,uM,,IC50,,,CYTOTOXICITY,set6,F,rat myoblasts from skeletal muscle,ORGANISM,,,EPICHEM,MURVTCYT1
COc1ccccc1C(O)(c1ccc(Cl)cc1)c1cncnc1,COc1ccccc1C(O)(c1ccc(Cl)cc1)c1cncnc1,.,= ,1.14,T. cruzi,,,uM,,IC50,,,Chagas in vitro,set6,F,"Tulahuen LacZ, Clone C4",ORGANISM,,,EPICHEM,MURVTCHA1
COc1ccccc1C(O)(c1ccc(Cl)cc1)c1cncnc1,COc1ccccc1C(O)(c1ccc(Cl)cc1)c1cncnc1,.,= ,8.7,T. cruzi,,,uM,,IC90,,,Chagas in vitro,set6,F,"Tulahuen LacZ, Clone C4",ORGANISM,,,EPICHEM,MURVTCHA2
CON=C(Cc1cccnc1)c1ccc(Cl)cc1Cl,CON=C(Cc1cccnc1)c1ccc(Cl)cc1Cl,.,= ,0.65,T. cruzi,,,uM,,IC90,,,Chagas in vitro,set6,F,"Tulahuen LacZ, Clone C4",ORGANISM,,,EPICHEM,MURVTCHA2
CON=C(Cc1cccnc1)c1ccc(Cl)cc1Cl,CON=C(Cc1cccnc1)c1ccc(Cl)cc1Cl,.,= ,0.21,T. cruzi,,,uM,,IC50,,,Chagas in vitro,set6,F,"Tulahuen LacZ, Clone C4",ORGANISM,,,EPICHEM,MURVTCHA1
CON=C(Cc1cccnc1)c1ccc(Cl)cc1Cl,CON=C(Cc1cccnc1)c1ccc(Cl)cc1Cl,.,= ,0.47,T. cruzi,,,uM,,IC50,,,Chagas in vitro,set6,F,"Tulahuen LacZ, Clone C4",ORGANISM,,,EPICHEM,MURVTCHA1
CON=C(Cc1cccnc1)c1ccc(Cl)cc1Cl,CON=C(Cc1cccnc1)c1ccc(Cl)cc1Cl,.,= ,0.95,T. cruzi,,,uM,,IC90,,,Chagas in vitro,set6,F,"Tulahuen LacZ, Clone C4",ORGANISM,,,EPICHEM,MURVTCHA2
CON=C(Cc1cccnc1)c1ccc(Cl)cc1Cl,CON=C(Cc1cccnc1)c1ccc(Cl)cc1Cl,.,= ,13.0,T. cruzi,,,uM,,IC90,,,Chagas in vitro,set6,F,"Tulahuen LacZ, Clone C4",ORGANISM,,,EPICHEM,MURVTCHA2
CON=C(Cc1cccnc1)c1ccc(Cl)cc1Cl,CON=C(Cc1cccnc1)c1ccc(Cl)cc1Cl,.,= ,0.294,T. cruzi,,,uM,,IC50,,,Chagas in vitro,set6,F,"Tulahuen LacZ, Clone C4",ORGANISM,,,EPICHEM,MURVTCHA1
CON=C(Cc1cccnc1)c1ccc(Cl)cc1Cl,CON=C(Cc1cccnc1)c1ccc(Cl)cc1Cl,.,= ,80.99,L-6 cells,,,uM,,IC50,,,CYTOTOXICITY,set6,F,rat myoblasts from skeletal muscle,ORGANISM,,,EPICHEM,MURVTCYT1
OC(c1ccc(F)cc1)(c1cncnc1)c1ccccc1Cl,OC(c1ccc(F)cc1)(c1cncnc1)c1ccccc1Cl,.,= ,19.5,T. cruzi,,,uM,,IC90,,,Chagas in vitro,set6,F,"Tulahuen LacZ, Clone C4",ORGANISM,,,EPICHEM,MURVTCHA2
OC(c1ccc(F)cc1)(c1cncnc1)c1ccccc1Cl,OC(c1ccc(F)cc1)(c1cncnc1)c1ccccc1Cl,.,= ,1.14,T. cruzi,,,uM,,IC50,,,Chagas in vitro,set6,F,"Tulahuen LacZ, Clone C4",ORGANISM,,,EPICHEM,MURVTCHA1
COc1ccc(C(O)(c2cncnc2)C2CC2)cc1,COc1ccc(C(O)(c2cncnc2)C2CC2)cc1,.,= ,20.94,T. cruzi,,,uM,,IC50,,,Chagas in vitro,set6,F,"Tulahuen LacZ, Clone C4",ORGANISM,,,EPICHEM,MURVTCHA1
COc1ccc(C(O)(c2cncnc2)C2CC2)cc1,COc1ccc(C(O)(c2cncnc2)C2CC2)cc1,.,= ,62.5,T. cruzi,,,uM,,IC90,,,Chagas in vitro,set6,F,"Tulahuen LacZ, Clone C4",ORGANISM,,,EPICHEM,MURVTCHA2
CCCCc1c(C)nc(NCC)[nH]c1=O,CCCCc1c(C)nc(NCC)[nH]c1=O,.,= ,100.0,T. cruzi,,,uM,,IC90,,,Chagas in vitro,set6,F,"Tulahuen LacZ, Clone C4",ORGANISM,,,EPICHEM,MURVTCHA2
OC(c1ccc(F)cc1)(c1ccc(Cl)cc1)c1cncnc1,OC(c1ccc(F)cc1)(c1ccc(Cl)cc1)c1cncnc1,.,= ,0.641,T. cruzi,,,uM,,IC50,,,Chagas in vitro,set6,F,"Tulahuen LacZ, Clone C4",ORGANISM,,,EPICHEM,MURVTCHA1
OC(c1ccc(Cl)cc1)(c1cnccn1)c1ccccc1Cl,OC(c1ccc(Cl)cc1)(c1cnccn1)c1ccccc1Cl,.,= ,7.9,T. cruzi,,,uM,,IC90,,,Chagas in vitro,set6,F,"Tulahuen LacZ, Clone C4",ORGANISM,,,EPICHEM,MURVTCHA2
OC(c1ccc(Cl)cc1)(c1cnccn1)c1ccccc1Cl,OC(c1ccc(Cl)cc1)(c1cnccn1)c1ccccc1Cl,.,= ,0.44,T. cruzi,,,uM,,IC50,,,Chagas in vitro,set6,F,"Tulahuen LacZ, Clone C4",ORGANISM,,,EPICHEM,MURVTCHA1
CC(C)C(O)(c1ccc(Cl)cc1)c1cncnc1,CC(C)C(O)(c1ccc(Cl)cc1)c1cncnc1,.,= ,21.0,T. cruzi,,,uM,,IC90,,,Chagas in vitro,set6,F,"Tulahuen LacZ, Clone C4",ORGANISM,,,EPICHEM,MURVTCHA2
CC(C)C(O)(c1ccc(Cl)cc1)c1cncnc1,CC(C)C(O)(c1ccc(Cl)cc1)c1cncnc1,.,= ,2.24,T. cruzi,,,uM,,IC50,,,Chagas in vitro,set6,F,"Tulahuen LacZ, Clone C4",ORGANISM,,,EPICHEM,MURVTCHA1
OC(c1ccc(Cl)cc1)(c1ncccn1)c1ccccc1Cl,OC(c1ccc(Cl)cc1)(c1ncccn1)c1ccccc1Cl,.,= ,66.0,T. cruzi,,,uM,,IC90,,,Chagas in vitro,set6,F,"Tulahuen LacZ, Clone C4",ORGANISM,,,EPICHEM,MURVTCHA2
OC(c1ccc(Cl)cc1)(c1ncccn1)c1ccccc1Cl,OC(c1ccc(Cl)cc1)(c1ncccn1)c1ccccc1Cl,.,= ,22.9,T. cruzi,,,uM,,IC50,,,Chagas in vitro,set6,F,"Tulahuen LacZ, Clone C4",ORGANISM,,,EPICHEM,MURVTCHA1
CCCCC(O)(c1ccc(Cl)cc1)c1cnccn1,CCCCC(O)(c1ccc(Cl)cc1)c1cnccn1,.,= ,3.0,T. cruzi,,,uM,,IC90,,,Chagas in vitro,set6,F,"Tulahuen LacZ, Clone C4",ORGANISM,,,EPICHEM,MURVTCHA2
CCCCC(O)(c1ccc(Cl)cc1)c1cnccn1,CCCCC(O)(c1ccc(Cl)cc1)c1cnccn1,.,= ,0.33,T. cruzi,,,uM,,IC50,,,Chagas in vitro,set6,F,"Tulahuen LacZ, Clone C4",ORGANISM,,,EPICHEM,MURVTCHA1
OC(c1cncnc1)(c1ccccn1)c1ccccc1Cl,OC(c1cncnc1)(c1ccccn1)c1ccccc1Cl,.,= ,15.5,T. cruzi,,,uM,,IC90,,,Chagas in vitro,set6,F,"Tulahuen LacZ, Clone C4",ORGANISM,,,EPICHEM,MURVTCHA2
OC(c1cncnc1)(c1ccccn1)c1ccccc1Cl,OC(c1cncnc1)(c1ccccn1)c1ccccc1Cl,.,= ,7.33,T. cruzi,,,uM,,IC50,,,Chagas in vitro,set6,F,"Tulahuen LacZ, Clone C4",ORGANISM,,,EPICHEM,MURVTCHA1
OC(c1ccc(Cl)cc1)(c1cncnc1)c1ccccc1F,OC(c1ccc(Cl)cc1)(c1cncnc1)c1ccccc1F,.,= ,0.82,T. cruzi,,,uM,,IC90,,,Chagas in vitro,set6,F,"Tulahuen LacZ, Clone C4",ORGANISM,,,EPICHEM,MURVTCHA2
