Compound name 	Smile
CHEMBL14830	Nc1ncnc2c1ncn2[C@@H]3O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]3O
CHEMBL3104261	N[C@@H]1C[C@H]1c2ccc(cc2)c3cccc(O)c3
CHEMBL3651585	CN1CCN(CC1)C(=O)CN[C@H]2C[C@@H]2c3ccc(OCc4ccccc4)cc3
CHEMBL3786182	OC(=O)c1ccc(CN2CCC(CN[C@@H]3C[C@H]3c4ccccc4)CC2)cc1
CHEMBL3121308	COc1ncc(cc1S(=O)(=O)Nc2ccc(F)cc2F)c3ccc4N=C(N)N(C(=O)c4c3)c5ccccc5C(F)(F)F
CHEMBL7463	CN(C)CCCn1cc(C2=C(C(=O)NC2=O)c3c[nH]c4ccccc34)c5ccccc15
CHEMBL207990	CC[C@H](C)[C@H](NC(=O)[C@H]([C@@H](C)CC)N(C)C(=O)C)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CC(C)C)C(=O)[C@@]1(C)CO1
CHEMBL64925	CC(C)C[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1)C=O
CHEMBL1328505	CC1(C)Cc2c(CO1)sc(NC(=S)NC(=O)c3ccccc3)c2C(=O)O
CHEMBL384759	NC1=Nc2c(ncn2[C@@H]3O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]3O)C(=O)N1
CHEMBL191003	Nc1nc(Nc2ccc(cc2)S(=O)(=O)N)nn1C(=O)c3c(F)cccc3F
CHEMBL3770443	CNc1ncc2C=C(C(=O)N(C[C@@H]3OC[C@@H](N)CO3)c2n1)c4ccc(cc4Cl)c5cccc(C)n5
CHEMBL450786	Cc1[nH]c(\C=C\2/C(=O)Nc3ccc(cc23)S(=O)(=O)Cc4c(Cl)cccc4Cl)c(C)c1C(=O)N5CCC[C@@H]5CN6CCCC6
CHEMBL572878	CN1CCN(CC1)c2cc(Nc3cc(C)[nH]n3)nc(Sc4ccc(NC(=O)C5CC5)cc4)n2
CHEMBL509032	COc1cc(ccc1Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)N4CCC(CC4)N5CCN(C)CC5
CHEMBL226838	Cc1cccc(n1)c2[nH]c(nc2c3ccc4OCOc4c3)C(C)(C)C
CHEMBL2364611	Cc1cccc(n1)c2nn3CCCc3c2c4ccnc5ccc(cc45)C(=O)N
CHEMBL238125	Fc1ccc(Cl)cc1c2nc(Nc3ccncc3)c4nccnc4n2
CHEMBL261454	c1ccc(nc1)c2n[nH]cc2c3ccnc4ccccc34
CHEMBL440084	NC(=O)c1ccc(cc1)c2nc(c3ccccn3)c([nH]2)c4ccc5OCOc5c4
CHEMBL570533	Cc1cccc(n1)c2nc(Nc3ccncc3)c4ccccc4n2
CHEMBL525240	O[C@H]1[C@H]2[C@H](CC(=O)O)C(=O)O[C@@H]3[C@H]4COC(=O)c5cc(O)c(O)c(O)c5c6c(O)c(O)c(O)cc6C(=O)O[C@@H]3[C@@H](OC(=O)c7cc(O)c(O)c(OC1=O)c27)[C@H](OC(=O)c8cc(O)c(O)c(O)c8)O4
CHEMBL65	CC[C@@]1(O)C(=O)OCC2=C1C=C3N(Cc4cc5ccccc5nc34)C2=O
CHEMBL3605057	O=C(NCCCNc1nc(Nc2cccc(CN3CCOCC3)c2)ncc1C4CC4)C5CCC5
CHEMBL475251	COc1cc(Nc2ncc(F)c(Nc3ccc4OC(C)(C)C(=O)Nc4n3)n2)cc(OC)c1OC
CHEMBL1076555	Oc1ccc(Nc2nc(cs2)c3ccc(Cl)cc3)cc1
