COMPOUND_ID	REFERENCE_ID	COMPOUND_NAME	COMPOUND_KEY	SRC_ID	COMPOUND_SOURCE
DNDI1551242	1		DNDI1551242	14	HEOS
DNDI1551249	1		DNDI1551249	14	HEOS
DNDI1551250	1		DNDI1551250	14	HEOS
DNDI1551251	1		DNDI1551251	14	HEOS
DNDI1551252	1		DNDI1551252	14	HEOS
DNDI1578291	1		DNDI1578291	14	HEOS
DNDI1596467	1		DNDI1596467	14	HEOS
DNDI1596468	1		DNDI1596468	14	HEOS
DNDI1596469	1		DNDI1596469	14	HEOS
DNDI1596470	1		DNDI1596470	14	HEOS
DNDI1596471	1		DNDI1596471	14	HEOS
DNDI1596472	1		DNDI1596472	14	HEOS
DNDI1602412	1		DNDI1602412	14	HEOS
DNDI1602514	1		DNDI1602514	14	HEOS
DNDI1639400	1		DNDI1639400	14	HEOS
DNDI1639401	1		DNDI1639401	14	HEOS
DNDI1639402	1		DNDI1639402	14	HEOS
DNDI1639403	1		DNDI1639403	14	HEOS
DNDI1639404	1		DNDI1639404	14	HEOS
DNDI1639405	1		DNDI1639405	14	HEOS
DNDI1639406	1		DNDI1639406	14	HEOS
DNDI1639407	1		DNDI1639407	14	HEOS
DNDI1639408	1		DNDI1639408	14	HEOS
DNDI1639410	1		DNDI1639410	14	HEOS
DNDI1639411	1		DNDI1639411	14	HEOS
DNDI1639412	1		DNDI1639412	14	HEOS
DNDI1639413	1		DNDI1639413	14	HEOS
DNDI1639414	1		DNDI1639414	14	HEOS
DNDI1639415	1		DNDI1639415	14	HEOS
DNDI1639416	1		DNDI1639416	14	HEOS
DNDI1639416-24	1		DNDI1639416-24	14	HEOS
DNDI1639417	1		DNDI1639417	14	HEOS
DNDI1639418	1		DNDI1639418	14	HEOS
DNDI1676777	1		DNDI1676777	14	HEOS
DNDI1676780	1		DNDI1676780	14	HEOS
DNDI1676781	1		DNDI1676781	14	HEOS
DNDI1676782	1		DNDI1676782	14	HEOS
DNDI1676783	1		DNDI1676783	14	HEOS
DNDI1677867	1		DNDI1677867	14	HEOS
DNDI1683149	1		DNDI1683149	14	HEOS
DNDI1695343	1		DNDI1695343	14	HEOS
DNDI1695344	1		DNDI1695344	14	HEOS
DNDI1697551	1		DNDI1697551	14	HEOS
DNDI1703790	1		DNDI1703790	14	HEOS
DNDI1713038	1		DNDI1713038	14	HEOS
DNDI1713039	1		DNDI1713039	14	HEOS
DNDI1713040	1		DNDI1713040	14	HEOS
DNDI1713041	1		DNDI1713041	14	HEOS
DNDI1713296	1		DNDI1713296	14	HEOS
DNDI1713297	1		DNDI1713297	14	HEOS
DNDI1713298	1		DNDI1713298	14	HEOS
DNDI1720692	1		DNDI1720692	14	HEOS
DNDI1720693	1		DNDI1720693	14	HEOS
DNDI1720694	1		DNDI1720694	14	HEOS
DNDI1720695	1		DNDI1720695	14	HEOS
DNDI1720697	1		DNDI1720697	14	HEOS
DNDI1720698	1		DNDI1720698	14	HEOS
DNDI1724342	1		DNDI1724342	14	HEOS
DNDI1724343	1		DNDI1724343	14	HEOS
DNDI1724344	1		DNDI1724344	14	HEOS
DNDI1724945	1		DNDI1724945	14	HEOS
DNDI1729593	1		DNDI1729593	14	HEOS
DNDI1729594	1		DNDI1729594	14	HEOS
DNDI1734530	1		DNDI1734530	14	HEOS
